"","Legal.Name","Center.Name","Building","Street","Borough","ZipCode","Phone","Age.Range","Program.Type","Child.Care.Type","Violation.Rate.Percent","Average.Violation.Rate.Percent","lessThanAve","noViolation","longitude","latitude"
"399","CARDINAL MC CLOSKEY SCHOOL & HOME FOR CHILDREN","CARDINAL MC CLOSKEY DAY CARE CENTER SITE 2","899","EAST 180 STREET","BRONX",10460,"718-220-3355","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",66.6667,33.2035,0,0,-73.8821891082974,40.84510897321
"400","Cardinal McCloskey Community Service","CARDINAL MCCLOSKEY COMMUNITY SERVICES","629","Courtlandt Avenue","BRONX",10451,"718-402-0081","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",75,33.2035,0,0,-73.924210254745,40.83847899418
"401","Cardinal McCloskey Community Service","CARDINAL MCCLOSKEY COMMUNITY SERVICES","629","Courtlandt Avenue","BRONX",10451,"718-402-0081","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",75,33.2035,0,0,-73.9059498677824,40.861877968692
"402","Cardinal McCloskey School & Home For Children","CMCS/ANNA LEFKOWITZ CHILD DEVELOPMENT CENTER","690","WESTCHESTER AVENUE","BRONX",10455,"718-402-7179","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",100,33.2035,0,0,-73.9066628918813,40.816603102656
"403","CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN","CARDINAL MCCLOSKEY COMMUNITY SERVICES","3044","HULL AVENUE","BRONX",10467,"718-405-7824","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",40,33.2035,0,0,-73.924210254745,40.83847899418
"404","CARDINAL MCCLOSKEY SCHOOL AND HOME FOR CHILDREN","CARDINAL MCCLOSKEY COMMUNITY SERVICES","3044","HULL AVENUE","BRONX",10467,"718-405-7824","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",40,33.2035,0,0,-73.9059498677824,40.861877968692
"405","CARRIG MONTESSORI LLC","CARRIG MONTESSORI LLC","100","MASPETH AVENUE","BROOKLYN",11211,"718-388-1040","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",12.5,33.2035,1,0,-73.9389895306531,40.715692227652
"406","CARROLL BH LLC","BUNNY HILL","345","91st Street","BROOKLYN",11209,"347-560-6086","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",14.2857,33.2035,1,0,-74.0308755205215,40.61996225507
"407","CASA MONTESSORI, LLC","CASA MONTESSORI","119","UNION STREET","BROOKLYN",11231,"347-889-7309","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-74.003065226844,40.684549702922
"408","CASTLE DAY CARE CENTER CORP.","CASTLE  DAY CARE  CORP.","1141","CASTLETON AVENUE","STATEN ISLAND",10310,"718-447-3140","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",14.2857,30.9077,1,0,-74.1205002575589,40.6343558435113
"409","CATHEDRAL CHURCH OF ST. JOHN THE DIVINE IN THE CITY AND DIOCESES OF NEW YORK","CATHEDRAL CHURCH OF ST. JOHN THE DIVINE IN THE CITY AND DIOCESES OF NEW YORK","1047","AMSTERDAM AVENUE","MANHATTAN",10025,"212-316-7530","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",37.5,33.2035,0,0,-73.9622045310843,40.804181724006
"410","CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC","CATHEDRAL PARKWAY TOWERS PRESCHOOL, INC.","125","WEST 109 STREET","MANHATTAN",10025,"212-749-0291","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9632993705973,40.802140861321
"411","CATHERINE CORRY EARLY CHILDHOOD ACADEMY","ST. FRANCIS OF ASSISI SCHOOL","4321","BARNES AVENUE","BRONX",10466,"718-231-0858","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",75,41.6124,0,0,-73.8535437616835,40.895546785376
"412","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES DIOCESE OF BROOKLYN & QUEENS","THERESE CERVINI ANNEX HEAD START","35-33","104 STREET","QUEENS",11368,"718-478-2169","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",16.6667,33.2035,1,0,-73.8636046689072,40.75424942546
"413","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC.","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES INC.","525","PARKSIDE AVENUE","BROOKLYN",11226,"929-210-9200","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9557424297585,40.656296073624
"414","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC","161-06","89 AVENUE","QUEENS",11432,"718-523-1888","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",66.6667,33.2035,0,0,-73.7994058027691,40.7060361170054
"415","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","SUNSET PARK EARLY CHILDHOOD DEVELOPMENT CENTER","5902","6TH AVENUE","BROOKLYN",11220,"718-768-1012","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-74.0154385792095,40.6396856068054
"416","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES,INC.","CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC.","220","HENDRIX STREET","BROOKLYN",11207,"718-647-0966","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",14.2857,30.9077,1,0,-73.9350466203526,40.754765401501
"417","CATHOLIC CHARITIES OF STATEN ISLAND, INC.","CATHOLIC CHARITIES OF STATEN ISLAND, INC.","6581","HYLAN BOULEVARD","STATEN ISLAND",10309,"718-317-2849","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-74.2223324267371,40.512554165617
"418","CATHOLIC SCHOOL REGION OF CENTRAL WESTCHESTER- SAINT BARNABAS ELEMENTARY SCHOOL","SAINT BARNABAS SCHOOL","413","EAST 241 STREET","BRONX",10470,"718-324-1088","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",100,41.6124,0,0,-73.8649920991781,40.902261502171
"419","CATHOLIC SCHOOL REGION OF MANHATTAN-GUARDIAN ANGEL SCHOOL","GUARDIAN ANGEL SCHOOL","193","10TH AVENUE","MANHATTAN",10011,"212-989-8280","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-74.0051099113561,40.746685037994
"420","CATHOLIC SCHOOL REGION OF MANHATTAN-INCARNATION SCHOOL","INCARNATION SCHOOL","570","WEST 175 STREET","MANHATTAN",10033,"212-795-1030","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",33.3333,41.6124,1,0,-73.9358706129047,40.844978381494
"421","CATHOLIC SCHOOL REGION OF MANHATTAN-OUR LADY OF LOURDES SCHOOL","OUR LADY OF LOURDES SCHOOL","468","WEST 143 STREET","MANHATTAN",10031,"212-926-5820","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9482977815582,40.8234488359407
"422","CATHOLIC SCHOOL REGION OF MANHATTAN-OUR LADY QUEEN OF MARTYRS SCHOOL","OUR LADY QUEEN OF MARTYRS SCHOOL","71-91","ARDEN STREET","MANHATTAN",10040,"212-567-3190","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9279730590399,40.863950130648
"423","CATHOLIC SCHOOL REGION OF MANHATTAN-ST. BRIGID SCHOOL","ST. BRIGID SCHOOL","185","EAST 7 STREET","MANHATTAN",10009,"212-677-5210","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9806163489303,40.725017094966
"424","CATHOLIC SCHOOL REGION OF MANHATTAN-ST. CHARLES BORROMEO","ST CHARLES BORROMEO SCHOOL","214","WEST 142ND STREET","MANHATTAN",10030,"212-368-6666","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",50,41.6124,0,0,-73.9417353607185,40.819572457359
"425","CATHOLIC SCHOOL REGION OF MANHATTAN-ST. ELIZABETH SCHOOL","ST. ELIZABETH SCHOOL","612","WEST 187 STREET","MANHATTAN",10033,"212-568-7291","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",66.6667,41.6124,0,0,-73.9321725313879,40.8532696119539
"426","Catholic School Region of North East- East Bronx","ST. CLARE OF ASSISI EARLY CHILDHOOD ACADEMY","1925","HONE AVENUE","BRONX",10461,"718-892-4080","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",0,41.6124,1,1,-73.8569027561769,40.8514134128996
"427","CATHOLIC SCHOOL REGION OF STATEN ISLAND-BLESSED SACRAMENT SCHOOL","BLESSED SACRAMENT SCHOOL","830","DELAFIELD AVENUE","STATEN ISLAND",10310,"718-442-3090","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",33.3333,41.6124,1,0,-74.1259886423871,40.627851281108
"428","CATHOLIC SCHOOL REGION OF STATEN ISLAND-HOLY ROSARY SCHOOL","HOLY ROSARY SCHOOL","100","JEROME AVENUE","STATEN ISLAND",10305,"718-447-1195","3 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",33.3333,41.6124,1,0,-73.8417875605761,40.8674316910265
"429","CATHOLIC SCHOOL REGION OF STATEN ISLAND-OUR LADY QUEEN OF PEACE SCHOOL","OUR LADY QUEEN OF PEACE SCHOOL","22","STEELE AVENUE","STATEN ISLAND",10306,"718-351-0370","2 YEARS - 5 YEARS","PRESCHOOL","School Based Child Care",0,41.6124,1,1,-74.1177660633573,40.576107828375
"430","CENTER FOR LIFE AND FAITH, INC.","CENTER FOR LIFE AND FAITH, INC.","325","EAST  101 STREET","MANHATTAN",10029,"212-831-5506","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9430488930795,40.78712400628
"431","CENTRAL PARK MONTESSORI, INC.","CENTRAL PARK MONTESSORI, INC.","1","WEST 91ST STREET","MANHATTAN",10024,"212-595-2000","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",25,33.2035,1,0,-73.9671133393258,40.788901184065
"432","CENTRAL SYNAGOGUE","CENTRAL SYNAGOGUE","123","EAST 55 STREET","MANHATTAN",10022,"212-838-5122","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-73.9704278259133,40.760085555236
"433","CHABAD LUBAVITCH OF BROOKLYN HEIGHTS","CHABAD LUBAVITCH OF BROOKLYN HEIGHTS","166","MONTAGUE STREET","BROOKLYN",11201,"718-596-4840","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",28.5714,30.9077,1,0,-73.9927964835178,40.694100980143
"434","CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.","CHABAD LUBAVITCH OF WEST BRIGHTON-MANHATTAN BEACH CORP.","2997","OCEAN PARKWAY","BROOKLYN",11235,"718-946-9833","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.967435763988,40.577828390579
"435","Chabad of Gramercy","Preschool of the Arts","41","Cooper Square","MANHATTAN",10003,"212-533-1822","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",0,30.9077,1,1,-73.9901056306201,40.728433294153
"436","CHABAD OF GRAMERCY PARK","CHABAD OF GRAMERCY PARK","41","COOPER SQUARE","MANHATTAN",10003,"212-533-1822","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",33.3333,33.2035,0,0,-73.9921537637946,40.741663958498
"437","CHABAD OF GRAMERCY PARK, INC.","CENTER FOR JEWISH DISCOVERY","337","2ND AVENUE","MANHATTAN",10003,"212-677-7375","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",50,30.9077,0,0,-73.9829147822791,40.736156178339
"438","CHABAD OF MARINE PARK","GANEINU","2989","NOSTRAND AVENUE","BROOKLYN",11229,"718-377-1770","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9436125309749,40.611408110687
"439","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9445587605275,40.688213446029
"440","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9442042857515,40.6881704066558
"441","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-74.0148558267394,40.675485136655
"442","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9865348853008,40.578404030582
"443","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9520627353123,40.705409542435
"444","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9528873837361,40.69453812048
"445","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9473987790484,40.583543100047
"446","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9160443587805,40.646428331273
"447","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-74.0294596962473,40.618423826052
"448","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.932785165991,0.72484829592465
"449","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9577268462478,40.6792162800106
"450","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9788159730161,40.6361263649727
"451","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9058201880522,40.681417495041
"452","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.8880565800835,40.665361954628
"453","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9493483743051,40.715844739587
"454","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9495387132491,40.715826927331
"455","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.870544571997,40.666165811057
"456","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9817884838248,40.681034091568
"457","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","CHABAD OF PROSPECT HEIGHTS-BROWNSTONE GAN KATAN","797","STERLING PLACE","BROOKLYN",11216,"347-226-8226","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9193951296268,40.683913375478
"458","CHABAD OF WASHINGTON HEIGHTS, INC.","CHABAD OF WASHINGTON HEIGHTS, INC.","50","OVERLOOK TERRACE","MANHATTAN",10033,"718-913-7900","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",40,33.2035,0,0,-73.9359431845048,40.8544458089023
"459","CHABAD OF WEST QUEENS, INC.","JEWISH COMMUNITY CENTER .","10-29","48 AVENUE","QUEENS",11101,"718-609-0066","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",66.6667,33.2035,0,0,-73.952406017789,40.744051987089
"460","CHABAD-LUBAVITCH OF THE UPPER EAST SIDE, INC.","CHABAD-LUBAVITCH OF THE UPPER EAST SIDE, INC.","419","EAST 77TH STREET","MANHATTAN",10075,"212-717-4613","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9527237406277,40.770913371493
"461","Chaneen Thomas","WONDER YEARS DAYCARE","5711","FLATLANDS AVE","BROOKLYN",11234,"347-673-8144","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.9210580269237,40.6307220277469
"462","CHANGING TOMORROW CHILD CARE LLC","CHANGING TOMORROW CHILD CARE LLC","257","GOLD ST","BROOKLYN",11201,"845-978-3845","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",0,30.9077,1,1,-73.9828107489067,40.697147022427
"463","CHARLES & CHARLES NY, INC.","SUNSHINE INFANT & TODDLER PROGRAM","1277","STERLING PLACE","BROOKLYN",11213,"718-363-2033","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",100,30.9077,0,0,-73.9360723169659,40.672066369153
"464","CHEER-AND-GROW LEARNING ACADEMY CORP.","CHEER-AND-GROW LEARNING ACADEMY CORP.","1926","CROSS BRONX EXPRESSWAY","BRONX",10472,"718-684-3100","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",57.1429,33.2035,0,0,-73.8590516154165,40.83245489815
"465","CHELSEA DAY SCHOOL","CHELSEA DAY SCHOOL","319","5TH AVENUE","MANHATTAN",10016,"212-675-8541","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",14.2857,33.2035,1,0,-73.9849520580879,40.74713686281
"466","CHELSEA PIERS L.P.","CHELSEA PIERS L.P.","111A","11TH AVENUE","MANHATTAN",10011,"212-336-6500","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",14.2857,30.9077,1,0,-74.0085181371662,40.7459570416498
"467","CHER INC.","CHER INC.","199-15","LINDEN BOULEVARD","QUEENS",11412,"718-481-8687","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.7527751812748,40.694620598414
"468","CHERRY DAY CARE CENTER, INC.","CHERRY DAY CARE CENTER","43-43","BOWNE STREET","QUEENS",11355,"718-445-5090","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",50,33.2035,0,0,-73.8187839307377,40.754596582945
"469","CHERYL HERCULES","PRECIOUS EARLY CHILDHOOD ACADEMY","9624","KINGS HIGHWAY","BROOKLYN",11212,"718-495-2269","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",14.2857,33.2035,1,0,-73.9195254289937,40.660267067673
"470","CHICKPEAS CHILD CARE CENTER, INC.","CHICKPEAS CHILDCARE CENTER, INC,","451","7TH AVENUE","BROOKLYN",11215,"718-788-6604","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-73.98458705959,40.662776536101
"471","CHILD CARE WORKERS CORPORATION","GOLD MATERIAL","105","KINGS HIGHWAY","BROOKLYN",11214,"718-253-2552","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-73.9783584097298,40.740688163405
"472","CHILD DEVELOPMENT CENTER AT QUEENS COLLEGE","CHILD DEVELOPMENT CENTER AT QUEENS COLLEGE","65-30","KISSENA BOULEVARD","QUEENS",11367,"718-997-5885","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",75,33.2035,0,0,-73.8162697409445,40.736373408242
"473","CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER  INC.","CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER, INC","3512","DEKALB AVENUE","BRONX",10467,"718-405-0020","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",80,33.2035,0,0,-73.8798923818633,40.8826066015834
"474","CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER INC.","CHILD DEVELOPMENT CENTER OF THE MOSHOLU MONTEFIORE COMMUNITY CENTER, INC.","3880","SEDGWICK AVENUE","BRONX",10463,"718-543-0231","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",40,33.2035,0,0,-73.8934928464419,40.882664162907
"475","Child Development Center of the Mosholu-Montefiore Community Center, Inc.","CHILD DEVELOPMENT CENTER OF THE MOSHOLU-MONTEFIORE COMMUNITY CENTER, INC.","3450","DEKALB AVENUE","BRONX",10467,"718-654-0563","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.8807785084055,40.881656475123
"476","CHILDCARE PARTNERS AT NEW YORK - WEST, LLC","CHILDCARE PARTNERS AT NEW YORK - WEST, LLC","20","WEST STREET","MANHATTAN",10004,"212-797-1110","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-74.0153313144267,40.706232357696
"477","CHILDREN AT PLAY EARLY INTERVENTION CENTER","CHILDREN AT PLAY EARLY INTERVENTION CENTER","40","MERRILL AVENUE","STATEN ISLAND",10314,"718-370-7529","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",20,33.2035,1,0,-74.1620396103647,40.609873370477
"478","CHILDREN OF AMERICA QUEENS, LLC","CHILDREN OF AMERICA QUEENS","33-06","88 STREET","QUEENS",11372,"347-730-5438","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",66.6667,30.9077,0,0,-73.8798986759884,40.755747569815
"479","CHILDREN'S ALL DAY SCHOOL","CHILDREN'S ALL DAY SCHOOL","109","EAST 60 STREET","MANHATTAN",10022,"212-752-4566","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",25,33.2035,1,0,-73.9685955781474,40.763491939035
"480","CHILDREN'S CENTER OF JOHN JAY COLLEGE","CHILDREN'S CENTER OF JOHN JAY COLLEGE OF CRIMINAL JUSTICE, INC.","860","11TH AVENUE","MANHATTAN",10019,"212-393-6438","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",14.2857,30.9077,1,0,-73.9891320610268,40.770327472927
"481","CHILDREN'S CENTER OF JOHN JAY COLLEGE OF CRIMINAL JUSTICE, INC.","CHILDREN'S CENTER OF JOHN JAY COLLEGE OF CRIMINAL JUSTICE, INC","860","11TH AVENUE","MANHATTAN",10019,"212-393-6438","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",0,33.2035,1,1,-73.9891320610268,40.770327472927
"482","CHILDREN'S KINGDOM INC -","CHILDREN'S KINGDOM INC.","3315","AVENUE I","BROOKLYN",11210,"718-677-1315","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",28.5714,33.2035,1,0,-73.9437466782379,40.629650857599
"483","CHILDREN'S KINGDOM INC.","CHILDREN'S KINGDOM INC. -  I/T","3317","AVENUE I","BROOKLYN",11210,"718-677-1315","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",44.4444,30.9077,0,0,-73.9437466782379,40.629650857599
"484","CHILDREN'S LEARNING CENTER AT MORNINGSIDE HEIGHTS","CHILDREN'S LEARNING CENTER AT MORNINGSIDE HEIGHTS","90","LASALLE STREET","MANHATTAN",10027,"212-663-9318","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",60,30.9077,0,0,-73.9585444124382,40.812984572983
"485","CHILDREN'S LEARNING COMPANY, INC.","CHILDREN'S LEARNING COMPANY, INC.","210","WEST 233 STREET","BRONX",10463,"718-432-1170","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",80,33.2035,0,0,-73.904140656365,40.880998249421
"486","CHILDREN'S PALACE DAY CARE INC.","CHILDREN'S PALACE DAY CARE CENTER I/T","743","EAST 43RD STREET","BROOKLYN",11203,"718-284-1290","0 YEARS - 2 YEARS","INFANT TODDLER","Child Care - Infants/Toddlers",42.8571,30.9077,0,0,-73.9354661467981,40.637210452377
"487","CHILDREN'S PALACE DAY CARE, INC.","CHILDREN'S PALACE DAY CARE, INC.","743","EAST 43 STREET","BROOKLYN",11203,"718-284-1290","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",75,33.2035,0,0,-73.9354661467981,40.637210452377
"488","CHILDREN'S PARADISE DAYCARE INC","CHILDREN'S PARADISE DAYCARE","942","BERGEN STREET","BROOKLYN",11238,"718-398-4400","2 YEARS - 5 YEARS","PRESCHOOL","Child Care - Pre School",60,33.2035,0,0,-73.956047378091,40.67662107791
